Wall time,Step,Value
1715322980.9562535,167,0.23042695224285126
1715322986.2620952,474,0.19330959022045135
1715322987.3154244,536,0.18788102269172668
1715322988.1589952,586,0.07553301751613617
1715323003.603136,1436,0.06851152330636978
1715323019.0115957,2307,0.0828353762626648
1715323020.3917406,2389,0.22072260081768036
1715323022.0231225,2486,0.1751716136932373
1715323062.5203428,4492,0.07562245428562164
1715323075.486428,5134,0.23389789462089539
1715323106.5657308,6711,0.1232266053557396
1715323119.802422,7463,0.13262343406677246
1715323152.2951214,9260,0.07991838455200195
1715323156.1474466,9468,0.11928220093250275
1715323175.9878697,10399,0.23147428035736084
1715323184.9974847,10905,0.28059980273246765
1715323186.0554614,10966,0.14381998777389526
1715323204.4934971,11969,0.14274825155735016
1715323248.9819362,14294,0.11224211752414703
1715323255.8046753,14668,0.1264757663011551
1715323257.8618512,14779,0.17470142245292664
1715323283.7731676,16116,0.22962385416030884
1715323309.2999744,17543,0.08357193320989609
1715323346.534983,19640,0.12968501448631287
1715323354.381646,20062,0.12821315228939056
1715323362.8282247,20539,0.31336647272109985
1715323363.4841013,20578,0.18586507439613342
1715323368.343239,20855,0.1435876190662384
1715323378.412795,21319,0.22809343039989471
1715323396.8319497,22330,0.11375822871923447
1715323417.774256,23361,0.260051965713501
1715323424.4992015,23701,0.23591503500938416
1715323432.737961,24147,0.27386483550071716
1715323436.0857723,24322,0.1367408037185669
1715323443.6390853,24727,0.21412234008312225
1715323453.4151564,25253,0.1621176153421402
1715323520.0636916,28996,0.16786639392375946
1715323534.9233472,29829,0.15158045291900635
1715323548.7631238,30612,0.2903919816017151
1715323550.3650908,30706,0.15816952288150787
1715323563.31924,31443,0.1951197236776352
1715323572.2077749,31936,0.19178292155265808
1715323580.8410814,32435,0.16178248822689056
1715323594.5753582,33181,0.32621777057647705
1715323604.732167,33749,0.1377790868282318
1715323605.4399934,33785,0.19933247566223145
1715323606.5957377,33839,0.22231844067573547
1715323607.3403096,33876,0.3240105211734772
1715323619.137241,34525,0.11831497400999069
1715323644.9331534,35953,0.14431369304656982
1715323657.0276873,36629,0.36668485403060913
1715323657.5925617,36659,0.0813293308019638
1715323677.1632342,37764,0.28132006525993347
1715323679.1683908,37876,0.22099235653877258
1715323694.227233,38720,0.3504551351070404
1715323696.3143296,38840,0.2174755036830902
1715323711.764683,39702,0.37591665983200073
1715323740.1851113,41271,0.15582504868507385
1715323761.5122173,42468,0.3439566493034363
1715323783.1806648,43639,0.168340265750885
1715323784.4580204,43711,0.1718534231185913
1715323789.4281952,43993,0.1754850596189499
1715323793.24587,44200,0.17336919903755188
1715323807.682355,44964,0.08291861414909363
1715323815.042736,45372,0.18199849128723145
1715323832.1473887,46334,0.2189624309539795
1715323833.5944445,46413,0.2889919877052307
1715323857.0245335,47744,0.2672352194786072
1715323860.8573847,47970,0.21923375129699707
1715323864.497508,48181,0.23192749917507172
1715323916.5850372,51134,0.1621527373790741
1715323928.0682123,51798,0.3496129512786865
1715323946.9924846,52906,0.11330282688140869
1715323950.214487,53092,0.18139636516571045
1715323963.5634694,53862,0.5311539173126221
1715324008.9271169,56521,0.21743258833885193
1715324013.9370117,56820,0.20539310574531555
1715324046.697207,58746,0.28473201394081116
1715324071.2031004,60179,0.21865002810955048
1715324071.3014698,60185,0.13888493180274963
1715324076.2839322,60475,0.1966439187526703
1715324104.5844436,62139,0.1634472757577896
1715324130.9509597,63671,0.24853193759918213
1715324145.5715132,64521,0.21442162990570068
1715324164.7446697,65643,0.3764975070953369
1715324184.1869788,66787,0.2581952214241028
1715324188.1730897,67021,0.25596514344215393
1715324195.2642145,67440,0.19179892539978027
1715324225.5414126,69185,0.11698238551616669
1715324234.7825325,69719,0.28165197372436523
1715324249.5191205,70580,0.2979657053947449
1715324250.8254623,70656,0.27279192209243774
1715324264.1099126,71428,0.34272146224975586
1715324272.2204802,71906,0.18045103549957275
1715324273.0963955,71957,0.08853356540203094
1715324274.174933,72012,0.5207470059394836
1715324286.455015,72723,0.2534058094024658
1715324291.3855598,73009,0.3777715563774109
1715324346.0085692,76218,0.18568216264247894
1715324357.8537226,76906,0.13064704835414886
1715324380.3122528,78208,0.12691041827201843
1715324392.3812292,78920,0.17762944102287292
1715324393.8316712,79005,0.0870208665728569
1715324417.7569902,80390,0.34665489196777344
1715324421.7262008,80613,0.1790258288383484
1715324428.7227986,80996,0.2447524070739746
1715324491.6930227,84601,0.18711531162261963
1715324500.0721009,85089,0.1808050274848938
1715324516.1593778,86014,0.3108788728713989
1715324529.3676558,86780,0.4474451541900635
1715324530.8296144,86865,0.14516592025756836
1715324533.3399801,87008,0.3546336591243744
1715324539.895507,87393,0.366484135389328
1715324552.8427105,88137,0.07748233526945114
1715324562.1985302,88674,0.41161689162254333
1715324574.0093927,89347,0.27372869849205017
1715324574.2872674,89363,0.08639830350875854
1715324584.9214215,89973,0.16577228903770447
1715324589.503055,90237,0.21384528279304504
1715324613.4960518,91624,0.15467387437820435
1715324613.8965979,91647,0.43743300437927246
1715324622.047346,92120,0.5199131369590759
1715324645.8775547,93471,0.5248865485191345
1715324653.2871954,93901,0.36046892404556274
1715324673.5318627,95057,0.2802921235561371
1715324679.0672612,95377,0.3576984405517578
1715324680.9378135,95480,0.29706764221191406
1715324695.2618895,96301,0.19067686796188354
1715324733.284741,98474,0.1766047179698944
1715324757.8760245,99884,0.31356650590896606
1715324774.745336,100858,0.3637733459472656
1715324783.0271595,101335,0.28430598974227905
1715324793.2146437,101923,0.12488003820180893
1715324793.5654259,101943,0.12995083630084991
1715324810.5343635,102911,0.2638157308101654
1715324812.0884824,103001,0.3002176284790039
1715324828.4182339,103947,0.3118678033351898
