Wall time,Step,Value
1715322980.9562535,167,0.6830142736434937
1715322986.2620952,474,0.0
1715322987.3154244,536,0.0
1715322988.1589952,586,0.0
1715323003.603136,1436,0.0
1715323019.0115957,2307,0.855790376663208
1715323020.3917406,2389,0.0
1715323022.0231225,2486,0.0
1715323062.5203428,4492,0.0
1715323075.486428,5134,0.0
1715323106.5657308,6711,0.8035763502120972
1715323119.802422,7463,0.8680770397186279
1715323152.2951214,9260,0.0
1715323156.1474466,9468,0.0
1715323175.9878697,10399,1.4282716512680054
1715323184.9974847,10905,0.0
1715323186.0554614,10966,0.0
1715323204.4934971,11969,0.0
1715323248.9819362,14294,0.0
1715323255.8046753,14668,0.0
1715323257.8618512,14779,2.175910472869873
1715323283.7731676,16116,0.0
1715323309.2999744,17543,1.6543073654174805
1715323346.534983,19640,0.0
1715323354.381646,20062,0.0
1715323362.8282247,20539,1.772114634513855
1715323363.4841013,20578,0.0
1715323368.343239,20855,2.0874059200286865
1715323378.412795,21319,2.7394723892211914
1715323396.8319497,22330,0.0
1715323417.774256,23361,0.0
1715323424.4992015,23701,0.0
1715323432.737961,24147,2.1591832637786865
1715323436.0857723,24322,0.0
1715323443.6390853,24727,2.6223177909851074
1715323453.4151564,25253,0.0
1715323520.0636916,28996,0.0
1715323534.9233472,29829,0.0
1715323548.7631238,30612,0.0
1715323550.3650908,30706,0.0
1715323563.31924,31443,2.922779083251953
1715323572.2077749,31936,0.0
1715323580.8410814,32435,2.554722785949707
1715323594.5753582,33181,0.0
1715323604.732167,33749,0.0
1715323605.4399934,33785,0.0
1715323606.5957377,33839,2.694244384765625
1715323607.3403096,33876,0.0
1715323619.137241,34525,0.0
1715323644.9331534,35953,0.0
1715323657.0276873,36629,0.0
1715323657.5925617,36659,1.4295799732208252
1715323677.1632342,37764,0.0
1715323679.1683908,37876,0.0
1715323694.227233,38720,0.0
1715323696.3143296,38840,0.0
1715323711.764683,39702,0.0
1715323740.1851113,41271,2.7742910385131836
1715323761.5122173,42468,0.0
1715323783.1806648,43639,2.131375312805176
1715323784.4580204,43711,3.2943572998046875
1715323789.4281952,43993,0.0
1715323793.24587,44200,0.0
1715323807.682355,44964,0.0
1715323815.042736,45372,0.0
1715323832.1473887,46334,0.0
1715323833.5944445,46413,0.0
1715323857.0245335,47744,0.0
1715323860.8573847,47970,0.0
1715323864.497508,48181,0.0
1715323916.5850372,51134,0.0
1715323928.0682123,51798,0.0
1715323946.9924846,52906,0.0
1715323950.214487,53092,0.0
1715323963.5634694,53862,0.0
1715324008.9271169,56521,0.0
1715324013.9370117,56820,0.0
1715324046.697207,58746,0.0
1715324071.2031004,60179,2.9258036613464355
1715324071.3014698,60185,0.0
1715324076.2839322,60475,3.1763553619384766
1715324104.5844436,62139,1.515099048614502
1715324130.9509597,63671,3.1282269954681396
1715324145.5715132,64521,0.0
1715324164.7446697,65643,2.5433239936828613
1715324184.1869788,66787,1.2688472270965576
1715324188.1730897,67021,0.0
1715324195.2642145,67440,0.0
1715324225.5414126,69185,0.0
1715324234.7825325,69719,1.146409273147583
1715324249.5191205,70580,0.0
1715324250.8254623,70656,0.0
1715324264.1099126,71428,0.0
1715324272.2204802,71906,0.0
1715324273.0963955,71957,0.0
1715324274.174933,72012,0.0
1715324286.455015,72723,3.345435857772827
