Wall time,Step,Value
1715916710.077366,42,-158.69984436035156
1715916710.9490345,45,-243.8225555419922
1715916730.7170274,71,-149.4868621826172
1715916747.7823684,94,-495.38836669921875
1715916790.051272,158,-113.50363159179688
1715916796.4032784,167,-295.70611572265625
1715916834.1975708,229,-467.9696960449219
1715916836.7936263,234,-337.06524658203125
1715916852.6970754,255,-628.6099853515625
1715916862.8828206,273,-67.6786117553711
1715916882.6108096,308,-438.86541748046875
1715916883.176297,310,-385.7309875488281
1715916889.7444355,318,-141.61390686035156
1715916952.4875603,421,-599.76904296875
1715916975.5837626,460,-86.64220428466797
1715916981.9148228,474,-526.3118896484375
1715917020.4048412,536,-37.92861557006836
1715917040.1390376,563,48.67374801635742
1715917048.570481,579,-472.6686096191406
1715917053.2748916,586,-158.88255310058594
1715917083.0043497,634,-559.11181640625
1715917090.4284852,647,47.62260818481445
1715917097.665096,661,-318.63116455078125
1715917103.2760832,671,-81.08773040771484
1715917129.276517,714,-405.0399169921875
1715917134.3100476,722,-52.85280990600586
1715917164.945082,771,-706.4950561523438
1715917174.858559,785,-100.18473815917969
1715917186.3199213,802,-554.3469848632812
1715917188.7164803,808,-228.00149536132812
1715917206.6544838,836,-312.85888671875
1715917266.5482328,945,-64.71824645996094
1715917282.768468,971,-381.9638366699219
1715917299.2822852,1005,-296.4076232910156
1715917308.0717673,1014,-213.82455444335938
1715917336.7630022,1066,-376.5854187011719
1715917361.9157014,1104,-635.0122680664062
1715917407.56556,1180,56.344173431396484
1715917450.7579973,1261,-37.8387451171875
1715917485.3344822,1316,10.949234962463379
1715917486.5332742,1319,-60.20574188232422
1715917496.2043984,1333,11.203423500061035
1715917496.9783273,1337,-180.9982147216797
1715917530.0997078,1385,-512.0931396484375
1715917533.2093885,1392,-229.37820434570312
1715917560.418586,1436,-329.61517333984375
1715917578.7864413,1466,-39.70416259765625
1715917615.0334582,1523,-36.48760986328125
1715917629.1038146,1552,47.3802375793457
1715917641.1864836,1568,1.0261166095733643
1715917647.7579017,1584,-19.489913940429688
1715917686.8323538,1640,44.52496337890625
1715917716.9417956,1691,-196.21200561523438
1715917730.053713,1709,-224.44436645507812
1715917735.3994076,1718,47.85354232788086
1715917743.2613719,1732,-90.53688049316406
1715917744.3394887,1734,-64.02361297607422
1715917746.8766992,1737,-80.2287826538086
1715917776.606154,1781,-91.3487548828125
1715917812.8980527,1844,-5.171937465667725
1715917818.485103,1853,22.756994247436523
1715917825.5950816,1866,-94.76422882080078
1715917828.2300317,1869,30.97580909729004
1715917832.235314,1877,-86.9534683227539
1715917859.4135938,1917,-97.71662902832031
1715917868.8852541,1934,50.39111328125
1715917876.8848493,1947,-259.1841735839844
1715917906.2201855,2001,27.966062545776367
1715917931.1893754,2036,-39.286712646484375
1715917958.3497066,2077,1.2396230697631836
1715917967.5331347,2096,50.19961929321289
1715918027.33812,2187,-43.676937103271484
1715918032.2370126,2199,-148.72183227539062
1715918043.1617815,2211,29.885427474975586
1715918054.7747118,2231,8.588565826416016
1715918058.1935925,2237,45.6978874206543
1715918070.0767684,2257,-26.458694458007812
1715918073.2951562,2262,-213.1097869873047
1715918103.3746784,2307,48.28750228881836
1715918111.5328503,2319,-31.441864013671875
1715918131.7796776,2354,-64.39388275146484
1715918157.4120958,2389,-60.809593200683594
1715918158.6876805,2390,24.55974578857422
1715918191.2727683,2436,54.426021575927734
1715918198.548272,2453,-238.22328186035156
1715918200.4681356,2455,17.42605972290039
1715918206.1559174,2460,-148.05003356933594
1715918217.9393892,2485,-77.42970275878906
1715918218.2326043,2486,47.74021911621094
1715918228.8711433,2498,57.78738021850586
1715918230.985484,2503,-165.8365936279297
1715918246.65456,2532,-52.498600006103516
1715918254.8266933,2547,-76.462890625
1715918257.8366427,2553,53.46348190307617
1715918333.5530527,2685,55.41646957397461
1715918366.000238,2740,-57.442237854003906
1715918375.8429022,2754,-129.56251525878906
1715918401.3546424,2789,-90.22041320800781
1715918468.3344314,2896,-120.34833526611328
1715918513.3901896,2967,48.05014419555664
1715918543.429788,3011,23.55498504638672
1715918560.0114205,3038,24.0734920501709
1715918562.6633263,3041,-148.32568359375
1715918597.3953955,3099,-191.3465118408203
1715918638.838511,3161,54.36399459838867
1715918659.437396,3196,14.02926254272461
1715918683.07615,3230,9.162932395935059
1715918692.2835157,3244,-231.8323974609375
1715918692.7492664,3246,-53.90138244628906
1715918692.8519945,3247,-181.50486755371094
1715918730.8662813,3305,-88.19429779052734
1715918797.9218686,3408,-363.8325500488281
1715918823.2889955,3449,-192.1212158203125
1715918845.0849304,3480,-0.9800985455513
1715918927.9887125,3600,-98.67489624023438
1715918942.2186387,3618,-139.02647399902344
1715918942.6245544,3620,-78.34203338623047
1715918977.8836217,3670,-208.509033203125
1715919008.4987118,3726,54.341583251953125
1715919016.8613324,3741,-64.0187759399414
1715919051.078779,3793,52.47071838378906
1715919062.100293,3814,-98.72499084472656
1715919069.672031,3821,51.66835403442383
1715919094.2348514,3864,-53.323638916015625
1715919135.6258857,3928,-37.966739654541016
1715919153.9997225,3956,28.418886184692383
1715919170.4138064,3984,-218.25726318359375
1715919203.2848554,4036,-166.1912384033203
1715919238.192984,4098,-33.43700408935547
1715919249.1736047,4109,-137.041259765625
1715919304.045788,4196,19.347562789916992
1715919307.4995475,4202,-36.14220428466797
1715919324.515023,4227,-46.97972869873047
1715919326.9215815,4232,-71.6423568725586
1715919346.9868948,4263,-50.16962432861328
1715919372.3590114,4304,-28.318979263305664
1715919381.1046093,4317,-36.41574478149414
1715919382.5048637,4319,-204.82923889160156
1715919433.8895142,4400,-127.59778594970703
1715919494.8210073,4492,42.738426208496094
1715919504.4532366,4509,-45.23474884033203
1715919517.653916,4530,-87.05012512207031
1715919576.5652926,4628,-18.56413459777832
1715919601.2978837,4664,49.48469924926758
1715919603.7922122,4668,49.71643829345703
1715919612.9377406,4676,24.798856735229492
1715919660.7737505,4750,-120.27081298828125
1715919682.604342,4788,23.318510055541992
1715919692.282945,4802,-60.541072845458984
1715919718.062967,4840,-207.44581604003906
1715919725.874068,4852,37.494728088378906
1715919751.1728868,4894,-203.36988830566406
1715919795.3596494,4962,-90.64437866210938
1715919801.7405763,4971,9.950455665588379
1715919802.5903027,4974,-8.973162651062012
1715919849.4080372,5050,50.63690185546875
1715919852.2145293,5052,-10.988572120666504
1715919886.0878983,5106,-1.5086259841918945
1715919903.1063635,5134,-33.09945297241211
1715919966.19955,5239,44.56863784790039
1715920023.9111369,5329,-81.232177734375
1715920034.6633677,5345,-24.176694869995117
1715920041.2317934,5359,24.814537048339844
1715920085.091109,5420,-36.531044006347656
1715920147.6424856,5515,27.761962890625
1715920148.8791773,5517,-40.6786003112793
1715920167.923222,5549,47.68851089477539
1715920190.6793349,5587,51.365570068359375
1715920239.732948,5664,-78.49736785888672
1715920249.7391753,5679,54.15482711791992
1715920280.2830315,5723,29.109037399291992
1715920334.7853599,5808,49.60642623901367
1715920348.0468764,5825,31.395780563354492
1715920349.4810388,5828,-32.69267272949219
1715920369.8844469,5862,39.99874496459961
1715920372.2072344,5864,-34.0344352722168
1715920378.079521,5871,34.20560836791992
1715920398.1687715,5907,56.714637756347656
1715920410.9848948,5928,50.6629638671875
1715920426.619356,5952,-9.3042573928833
1715920453.146128,5990,-155.84336853027344
1715920465.1520023,6010,-64.82879638671875
1715920536.2338166,6121,59.09263229370117
1715920544.7061474,6131,23.370494842529297
1715920574.2830117,6181,27.984966278076172
1715920586.1213365,6200,39.855106353759766
1715920591.750277,6213,-47.738826751708984
1715920598.087322,6219,30.3749942779541
1715920606.117834,6232,-283.5059509277344
1715920637.4020052,6289,-59.370849609375
1715920654.2020552,6312,-98.80903625488281
1715920656.5028987,6317,30.05508041381836
1715920673.0177116,6341,-45.9752311706543
1715920695.0816772,6376,31.15949821472168
1715920709.4382644,6400,-59.95503616333008
1715920766.6073036,6496,24.180770874023438
1715920784.7202158,6520,-52.26849365234375
1715920820.3761902,6574,24.293853759765625
1715920839.5787826,6603,-167.48031616210938
1715920875.2423604,6657,26.906003952026367
1715920898.5938103,6696,-84.67494201660156
1715920902.0994291,6699,44.72388458251953
1715920910.249622,6711,-142.193115234375
1715920930.7547603,6742,-41.308082580566406
1715920999.7472658,6846,-65.37567138671875
1715921003.9699686,6854,1.9340500831604004
1715921013.8321002,6869,-104.85572814941406
1715921075.0562885,6966,31.97885513305664
1715921092.667169,6992,-362.88421630859375
1715921105.7521603,7014,30.172452926635742
1715921163.9255097,7106,-41.50020980834961
1715921169.3260596,7114,-106.69680786132812
1715921196.4208481,7155,-95.6416244506836
1715921238.150195,7216,-131.65773010253906
1715921259.0293307,7247,-39.23368453979492
1715921296.5030687,7311,-26.685056686401367
1715921309.5272183,7329,-83.26242065429688
1715921312.649864,7339,37.036075592041016
1715921313.0458043,7340,-16.30400848388672
1715921324.6816711,7359,34.13163757324219
1715921338.822835,7382,-182.84132385253906
1715921350.698061,7401,-2.873171329498291
1715921380.3916135,7450,52.913753509521484
1715921387.7818427,7460,-124.59956359863281
1715921389.3935282,7463,-149.33004760742188
1715921399.2671108,7478,-40.865509033203125
1715921417.8733273,7511,47.36750793457031
1715921479.1633406,7609,-10.03044605255127
1715921502.2206569,7644,25.509973526000977
1715921528.6539319,7687,43.954524993896484
1715921532.2343524,7693,-41.314422607421875
1715921569.242333,7760,-72.72782897949219
1715921585.1647317,7788,47.82712173461914
1715921592.6905982,7798,53.59854507446289
1715921611.857313,7833,-161.83636474609375
1715921649.430781,7900,38.153446197509766
1715921671.7730021,7932,-53.061241149902344
1715921706.4113235,7991,-58.82284164428711
1715921728.1262236,8026,32.37095642089844
1715921735.332941,8037,-38.292572021484375
1715921743.8950324,8049,-133.76828002929688
1715921752.5628402,8066,-58.519290924072266
1715921825.6956766,8180,44.676307678222656
1715921846.5588567,8215,48.57154083251953
1715921848.9873567,8221,53.809898376464844
1715921891.8087845,8290,48.30259704589844
1715921917.459154,8334,-136.70791625976562
1715921936.5929615,8363,-29.208667755126953
1715921939.6946607,8368,-124.3805160522461
1715921947.7959847,8377,-80.27367401123047
1715921999.8237793,8467,22.92313575744629
1715922002.4736903,8470,-21.918540954589844
1715922020.49547,8498,-53.68657302856445
1715922030.2703176,8508,51.644073486328125
1715922063.4944215,8566,-47.36491012573242
1715922082.0208528,8601,28.078548431396484
1715922102.8855186,8634,-109.38231658935547
1715922103.1936944,8635,47.85590744018555
1715922142.1414847,8695,50.0189323425293
1715922215.6298606,8819,47.64381790161133
1715922216.1135669,8822,-71.30223083496094
1715922248.1049685,8878,-46.95211410522461
1715922263.3980508,8904,34.814300537109375
1715922264.952891,8907,-247.7694854736328
1715922277.2739248,8928,10.015629768371582
1715922281.7419698,8935,-5.66981840133667
1715922296.1723597,8958,-13.574799537658691
1715922315.5465233,8993,-87.61988067626953
1715922318.8786068,8999,-3.207010269165039
1715922351.0096376,9055,32.05217361450195
1715922356.6455572,9063,-80.28668212890625
1715922448.9894838,9226,51.75
1715922454.867754,9233,-64.96271514892578
1715922470.9856331,9260,-26.505292892456055
1715922506.479661,9316,-60.688812255859375
1715922524.2840238,9348,47.961700439453125
1715922564.6340625,9412,36.728267669677734
1715922566.7334454,9415,14.330354690551758
1715922580.8038018,9435,45.61614990234375
1715922584.811077,9442,-12.561800956726074
1715922600.7464404,9468,29.42342185974121
1715922641.9073114,9538,25.19121551513672
1715922646.7274144,9547,-130.49591064453125
1715922650.3347614,9554,-333.4278564453125
1715922657.2712326,9567,50.61785888671875
1715922669.3698316,9589,53.00096130371094
1715922692.1385543,9627,39.14229965209961
1715922710.5752268,9657,-15.272780418395996
1715922725.275892,9680,55.443145751953125
1715922732.4955745,9698,-175.8011474609375
1715922777.7245605,9768,29.81951141357422
1715922825.9176152,9843,-377.3502197265625
1715922848.3406198,9883,44.901641845703125
1715922864.9352212,9907,28.35588836669922
1715922904.9192374,9972,1.3455548286437988
1715922951.0149043,10050,-72.4946060180664
1715922953.5750556,10055,42.9687385559082
1715922956.0913217,10058,51.8812370300293
1715922972.6689663,10084,-23.159095764160156
1715922997.5723345,10128,-151.23513793945312
1715923023.7752283,10168,11.542582511901855
1715923034.9892223,10185,-239.89724731445312
1715923078.0001435,10256,-21.456260681152344
1715923089.2490456,10276,51.138694763183594
1715923093.968417,10283,50.696868896484375
1715923162.169937,10396,-136.1651611328125
1715923164.7101402,10399,-67.79742431640625
1715923177.7243319,10420,-139.62030029296875
1715923216.0497763,10479,33.757328033447266
1715923221.84527,10489,51.32177734375
1715923222.9134145,10493,-144.934814453125
1715923241.811847,10522,-134.47323608398438
1715923259.7757835,10555,-18.490514755249023
1715923292.7947927,10607,-55.339542388916016
1715923301.9473047,10624,-105.631591796875
1715923311.42794,10638,15.355840682983398
1715923320.3221421,10654,51.62430191040039
1715923328.0105698,10671,51.388389587402344
1715923349.6666276,10711,6.664339065551758
1715923379.2195556,10757,1.6635462045669556
1715923379.8279274,10758,62.35734176635742
1715923391.6303487,10780,-50.504520416259766
1715923394.9843752,10787,-17.747753143310547
1715923413.12635,10815,-28.647092819213867
1715923421.1568637,10825,32.94549560546875
1715923431.7415447,10841,-5.357148170471191
1715923436.7990105,10850,52.02965545654297
1715923443.9089892,10864,-148.1671905517578
1715923468.9270492,10902,56.69858169555664
1715923472.611192,10905,9.18387508392334
1715923491.3420756,10939,43.87493896484375
1715923494.2901878,10943,-77.83357238769531
1715923509.2671156,10966,45.77826690673828
1715923513.1527207,10972,-67.67601776123047
1715923513.2524517,10974,-24.948759078979492
1715923536.2080317,11014,58.23991394042969
1715923540.5414386,11020,-143.51077270507812
1715923548.645757,11033,38.85158920288086
1715923553.8478346,11038,-19.213590621948242
1715923589.4605496,11102,-77.21601104736328
1715923600.9398367,11121,56.21091079711914
1715923604.942127,11130,30.107452392578125
1715923637.2556689,11175,-147.88987731933594
1715923652.0560694,11198,-77.22660827636719
1715923652.9616463,11200,59.7249870300293
1715923653.1591191,11201,31.770038604736328
1715923688.0786881,11260,54.595123291015625
1715923788.6416218,11419,50.606380462646484
1715923820.172257,11472,-92.62539672851562
1715923829.722704,11492,52.91402053833008
1715923850.80729,11523,41.9218864440918
1715923856.7862935,11532,33.75202178955078
1715923866.4304883,11549,-129.48324584960938
1715923876.967296,11566,-5.626608848571777
1715923899.5381515,11597,-237.9300537109375
1715923932.002291,11648,35.07363510131836
1715923946.4117372,11671,29.10117530822754
1715923954.3883944,11685,-127.49557495117188
1715924003.0870962,11759,5.551714897155762
1715924072.1483164,11873,50.43793869018555
1715924132.8179882,11969,-114.9662094116211
1715924136.0603125,11974,-22.782548904418945
1715924157.2446327,12010,39.630741119384766
1715924177.5084138,12041,-391.95257568359375
1715924236.615854,12138,-220.08367919921875
1715924255.9481287,12164,-173.51953125
1715924257.653565,12168,-4.9705071449279785
1715924269.3373044,12184,-71.74092102050781
1715924296.623298,12226,-35.10032653808594
1715924337.7682102,12290,51.0892333984375
1715924343.1847198,12293,40.22060775756836
1715924352.054985,12309,-111.12696075439453
1715924411.0222118,12405,44.814849853515625
1715924445.4201775,12458,-71.74689483642578
1715924505.3202937,12553,-39.825775146484375
1715924550.4854493,12625,-148.0701904296875
1715924578.487527,12671,-42.66918182373047
1715924595.227737,12699,-72.68416595458984
1715924635.03423,12758,-101.97406768798828
1715924641.85199,12774,24.584043502807617
1715924661.9242828,12805,46.71887969970703
1715924709.1289823,12877,51.44751739501953
1715924721.1378515,12896,21.029239654541016
1715924747.4105587,12939,50.0812873840332
1715924761.2335706,12959,47.98141860961914
1715924795.3303413,13017,26.321073532104492
1715924811.6137738,13034,37.396602630615234
1715924831.321045,13061,-39.38197708129883
1715924841.6095169,13082,50.55048751831055
1715924852.973113,13094,-30.511354446411133
1715924862.8018143,13109,50.312198638916016
1715924865.5993302,13113,52.669376373291016
1715924874.0237906,13130,-131.38258361816406
1715924896.4926722,13166,56.154388427734375
1715924925.7045135,13206,60.64372634887695
1715924945.5494165,13239,-169.5365447998047
1715925016.575378,13349,31.643831253051758
1715925056.7827985,13402,50.116641998291016
1715925058.435377,13406,21.915090560913086
1715925070.556946,13426,42.33787155151367
1715925104.0278673,13475,51.005592346191406
1715925121.6517131,13504,-5.891323089599609
1715925145.476967,13546,52.285682678222656
1715925180.405512,13597,-1.603583812713623
1715925192.4173713,13620,45.9243278503418
1715925231.4808536,13679,14.20323371887207
1715925235.5868669,13682,-0.6766785383224487
1715925281.6446352,13747,-26.947242736816406
1715925298.4167593,13776,18.306087493896484
1715925319.8563957,13810,19.620750427246094
1715925339.9645944,13845,-2.3276054859161377
1715925354.9066153,13868,12.542121887207031
1715925364.9617126,13884,29.313705444335938
1715925401.9617145,13937,-103.66181945800781
1715925414.1191854,13957,-69.45347595214844
1715925421.7856731,13970,-78.25466918945312
1715925425.881714,13976,41.15830612182617
1715925439.0056007,13998,29.411075592041016
1715925492.6301224,14080,-28.249195098876953
1715925583.852048,14221,31.411455154418945
1715925627.6059802,14287,21.59999656677246
1715925628.0228662,14288,53.84988784790039
1715925631.5723677,14294,-67.10921478271484
1715925638.8359332,14303,-103.89591979980469
1715925646.3687782,14320,-36.04227066040039
