Wall time,Step,Value
1715916689.8809385,167,-0.45093172788619995
1715916697.9055665,474,-0.35219472646713257
1715916699.3317509,536,-0.27521833777427673
1715916700.5175774,586,-0.2841600179672241
1715916723.5781288,1436,0.6794108152389526
1715916745.3508718,2307,1.9567668437957764
1715916747.356508,2389,2.3112685680389404
1715916749.7122037,2486,2.27479887008667
1715916800.333762,4492,5.1990509033203125
1715916816.3353622,5134,5.626280784606934
1715916855.3709202,6711,6.9504714012146
1715916874.34692,7463,9.006400108337402
1715916922.151727,9260,10.70780086517334
1715916927.2540731,9468,9.983476638793945
1715916948.9949036,10399,10.59714126586914
1715916961.0935338,10905,13.638031005859375
1715916962.5117385,10966,12.659789085388184
1715916986.2003567,11969,9.113718032836914
1715917041.794608,14294,14.5068359375
1715917050.6090245,14668,15.660964012145996
1715917053.1701722,14779,14.369779586791992
1715917084.5362496,16116,14.051658630371094
1715917118.7786038,17543,15.828463554382324
1715917169.114925,19640,19.184309005737305
1715917179.177999,20062,16.506141662597656
1715917190.2453887,20539,23.013336181640625
1715917191.1519625,20578,25.54218101501465
1715917197.5737789,20855,17.54227638244629
1715917208.4436975,21319,19.3403377532959
1715917232.0455475,22330,18.925111770629883
1715917256.1799734,23361,22.830394744873047
1715917264.2035062,23701,25.72640037536621
1715917274.7213628,24147,19.767065048217773
1715917278.9151423,24322,21.798141479492188
1715917288.762431,24727,24.428380966186523
1715917301.25002,25253,23.646390914916992
1715917389.003225,28996,25.524429321289062
1715917408.5309777,29829,25.306289672851562
1715917426.8010948,30612,25.555837631225586
1715917429.0101829,30706,22.270238876342773
1715917446.0595791,31443,31.5887508392334
1715917457.5248885,31936,28.405452728271484
1715917469.5816298,32435,25.1973876953125
1715917487.2164454,33181,25.847328186035156
1715917500.5427904,33749,24.96938133239746
1715917501.3745642,33785,24.53335952758789
1715917502.5823321,33839,33.5023193359375
1715917503.4759414,33876,24.017927169799805
1715917518.5735464,34525,24.69249725341797
1715917551.9612145,35953,30.2186279296875
1715917567.7100763,36629,25.195262908935547
1715917568.3992326,36659,27.074291229248047
1715917594.1144314,37764,26.306163787841797
1715917596.7404044,37876,24.854225158691406
1715917616.38584,38720,31.2216796875
1715917619.2372112,38840,24.070552825927734
1715917639.6845016,39702,24.480525970458984
1715917676.4341743,41271,29.694976806640625
1715917705.024679,42468,25.100439071655273
1715917732.400432,43639,22.36891746520996
1715917734.07894,43711,24.040922164916992
1715917740.76904,43993,19.95887565612793
1715917745.6629462,44200,26.87531280517578
1715917763.6208968,44964,24.70733642578125
1715917773.267088,45372,21.299911499023438
1715917795.6761322,46334,21.937414169311523
1715917797.5191987,46413,21.272144317626953
1715917829.2522955,47744,23.488515853881836
1715917834.5142148,47970,21.12326431274414
1715917839.523814,48181,22.183576583862305
1715917908.7593894,51134,22.881973266601562
1715917924.5062568,51798,26.621288299560547
1715917950.9225779,52906,19.948699951171875
1715917955.2659552,53092,22.494430541992188
1715917973.2378693,53862,22.44721221923828
1715918036.136578,56521,19.757993698120117
1715918043.496885,56820,20.339170455932617
1715918089.193619,58746,20.03326416015625
1715918123.156747,60179,20.68682861328125
1715918123.2993646,60185,18.64168357849121
1715918130.2607396,60475,25.07758140563965
1715918169.792212,62139,18.7113037109375
1715918206.063165,63671,22.71575927734375
1715918226.3628523,64521,21.431865692138672
1715918253.171123,65643,26.756298065185547
1715918280.215762,66787,21.603832244873047
1715918285.737988,67021,21.24357795715332
1715918295.645479,67440,14.308947563171387
1715918336.7405255,69185,19.032670974731445
1715918349.3268483,69719,16.225902557373047
1715918369.8698835,70580,16.42430305480957
1715918371.6580982,70656,16.2707576751709
1715918390.020969,71428,17.18345069885254
1715918401.1462014,71906,17.062349319458008
1715918402.4377456,71957,20.12856674194336
1715918403.7282932,72012,20.989356994628906
1715918420.5552707,72723,19.642162322998047
1715918427.4218972,73009,22.0611629486084
1715918503.551486,76218,13.630714416503906
1715918519.9825215,76906,28.176071166992188
1715918550.983577,78208,21.90713882446289
1715918567.7686663,78920,18.30878257751465
1715918569.7862668,79005,19.4886531829834
1715918602.563568,80390,18.765106201171875
1715918607.880342,80613,19.48189926147461
1715918616.8752744,80996,17.475189208984375
1715918702.3914676,84601,18.58582305908203
1715918713.8767374,85089,18.11800765991211
1715918735.8938282,86014,18.32017707824707
1715918753.8717265,86780,12.700761795043945
1715918755.9172537,86865,13.812273979187012
1715918759.2922237,87008,8.624731063842773
1715918768.6262517,87393,21.628280639648438
1715918786.2760255,88137,15.44876766204834
1715918799.1306317,88674,20.883983612060547
1715918815.1966476,89347,10.731669425964355
1715918815.5686505,89363,15.892635345458984
1715918830.0947847,89973,17.950429916381836
1715918836.3071642,90237,17.72956085205078
1715918874.4022293,91624,12.365649223327637
1715918874.9697104,91647,9.417144775390625
1715918887.579971,92120,18.262493133544922
1715918920.4175508,93471,15.836149215698242
1715918931.9271743,93901,18.37682342529297
1715918961.4166796,95057,13.726676940917969
1715918969.1589642,95377,14.185928344726562
1715918971.6562827,95480,16.758596420288086
1715918991.4213994,96301,7.076947212219238
1715919043.4122915,98474,13.30636215209961
1715919077.3484929,99884,13.389391899108887
1715919100.936921,100858,17.530420303344727
1715919112.5388787,101335,9.698216438293457
1715919127.0261147,101923,10.105340957641602
1715919127.562679,101943,15.708581924438477
1715919151.5652375,102911,12.606369018554688
1715919153.7533815,103001,19.92634391784668
1715919176.4077668,103947,10.213401794433594
1715919185.6490414,104334,15.949546813964844
1715919199.1608906,104896,13.969649314880371
1715919199.8281043,104924,15.7931547164917
1715919221.4572148,105774,21.756017684936523
1715919240.6633875,106566,18.380935668945312
1715919271.8250003,107837,6.583138942718506
1715919289.8058891,108586,11.507804870605469
1715919329.5555346,110224,11.299758911132812
1715919356.311946,111323,14.686728477478027
1715919365.5252934,111698,13.591146469116211
1715919395.0173843,112902,8.984344482421875
1715919450.412825,115096,13.807096481323242
1715919461.2568102,115518,15.070899963378906
1715919490.4068165,116711,6.877641677856445
1715919492.155139,116783,10.750158309936523
1715919498.4862003,117047,13.173612594604492
1715919513.0881312,117635,10.267000198364258
1715919526.5929973,118190,10.300225257873535
1715919601.897283,121192,13.893077850341797
1715919601.928197,121193,8.658462524414062
1715919606.6844726,121332,13.069494247436523
1715919610.3287215,121403,8.5480318069458
1715919621.9137235,121835,9.393488883972168
1715919631.3225493,122205,16.95128631591797
1715919642.1356175,122634,8.866927146911621
1715919709.2874494,125290,14.026087760925293
1715919830.1625304,130071,11.505731582641602
1715919870.7718775,131680,9.748308181762695
1715919875.618908,131876,16.39914321899414
1715919938.680181,134376,5.557912826538086
1715919939.3972628,134389,13.495165824890137
1715919941.5385325,134474,9.62215805053711
1715919951.2226214,134877,11.635129928588867
1715919970.3963206,135615,7.812070369720459
1715919996.2541354,136673,10.697179794311523
1715919996.3827908,136678,7.746793746948242
1715920006.1057773,137055,11.316431999206543
1715920065.131846,139403,8.940776824951172
1715920066.2588313,139449,9.834628105163574
1715920080.0802686,139975,12.844694137573242
1715920082.0862255,140055,9.227602005004883
1715920100.8390725,140750,6.572375297546387
1715920108.4497085,140989,11.976564407348633
1715920114.4691355,141222,9.783424377441406
1715920157.1739826,142892,10.068214416503906
1715920191.3086517,144226,12.471044540405273
1715920192.8196087,144285,7.323554992675781
1715920244.911093,146312,7.8506574630737305
1715920254.732622,146696,14.334096908569336
1715920274.490758,147491,7.814055919647217
1715920303.944876,148604,12.032136917114258
1715920305.5854852,148673,5.645532131195068
1715920359.421442,150758,8.163010597229004
1715920362.0414312,150863,11.202136039733887
1715920366.4626038,151042,13.56683349609375
1715920372.1414082,151276,7.593565940856934
1715920411.8874793,152766,7.161569595336914
1715920476.3350806,155189,8.345138549804688
1715920514.2855408,156652,6.983818054199219
1715920526.6454718,157130,4.309765338897705
1715920533.969874,157430,12.512621879577637
1715920538.6044734,157623,8.098410606384277
1715920606.5187612,160252,9.180525779724121
1715920630.5892339,161187,7.84979248046875
1715920635.078222,161364,6.135343074798584
1715920649.846708,161950,1.8412812948226929
1715920666.1331332,162583,8.960957527160645
1715920671.1836195,162789,5.082233428955078
1715920683.9574413,163296,7.507349967956543
1715920718.1439717,164622,9.439244270324707
1715920740.0383909,165463,7.002985954284668
1715920743.3395581,165597,6.787417411804199
1715920748.369101,165800,9.379573822021484
1715920786.3438709,167234,14.933653831481934
1715920790.3921556,167396,8.2827787399292
1715920797.2126248,167644,6.452460765838623
1715920806.7416399,168037,9.583064079284668
1715920839.091086,169323,4.5971808433532715
1715920855.9120798,169963,4.383190155029297
1715920861.6736662,170188,9.254020690917969
1715920897.660306,171620,6.480801582336426
1715920898.5838351,171659,8.197339057922363
1715920898.8142185,171669,5.01686954498291
1715920932.8222263,172972,8.791730880737305
1715920935.8361616,173093,7.167011260986328
1715920948.1003485,173556,10.168205261230469
1715920975.8951893,174647,8.787101745605469
1715921057.4284532,177777,6.002936840057373
1715921068.5127964,178192,4.396592140197754
1715921080.0579066,178661,9.075026512145996
1715921081.3953273,178701,8.965123176574707
1715921093.570751,179196,6.760926723480225
1715921122.3906417,180315,8.484739303588867
1715921140.6398132,181049,10.036786079406738
1715921142.4330149,181108,5.793074607849121
1715921167.3054657,182087,9.91486930847168
1715921189.2799523,182944,7.218295097351074
1715921189.4006293,182949,9.156133651733398
1715921197.2745612,183271,5.170853137969971
1715921205.9802687,183598,4.9370808601379395
1715921243.5886436,185058,4.362798690795898
1715921273.756925,186232,3.3948936462402344
1715921295.7859845,187090,6.374049186706543
1715921297.0176888,187140,7.95527982711792
1715921317.3772147,187943,9.848520278930664
